Ticker,Industry,Company,Days Until Next Earnings Report,Sector,Price,Yearly EPS,5-Year Price Range Low,5-Year Price Range High,5-Year Price Range % of Range,5-Year Price / Cash Flow Range Low,5-Year Price / Cash Flow Range High,5-Year Price / Cash Flow Range % of Range,5-Year Price / Earnings Range Low,5-Year Price / Earnings Range High,5-Year Price / Earnings Range % of Range,Momentum Rating vs. Peers,Price vs 200-Day Avg (%),Price vs 50-Day Avg (%),EPS Current Year Chg (Est.%),EPS Next Year Chg (Est.%),EPS 5-Year Avg (%),5-Year EPS Growth Estimate,ROIC,Beta 1-Year,Beta 3-Year,Market Cap ($M USD),Margin of Safety,YTD Return vs S&P 500,1-Day Return vs S&P 500,5D Return vs S&P 500,1M Return vs S&P 500,3M Return vs S&P 500,6-Month Return vs S&P 500,1Y Return vs S&P 500,2Y Return vs S&P 500,3Y Return vs S&P 500,5Y Return vs S&P 500,10Y Return vs S&P 500
NVDA,Semiconductors,NVIDIA,21,Technology,$103.99,0.18;0.39;0.18;1.21;2.49;3.43,$3.68,$140.76,73.2,28.9,>100,65.2,28.1,>100,60.5,73,125.40%,85.70%,109.20%,37.80%,72.80%,39.10%,71.00%,2.45,2.26,"$2,557,981",3%,99.50%,2.50%,3.90%,-11.50%,11.40%,46.00%,114.20%,418.00%,388.10%,2549.30%,24443.00%
UFPT,Medical Devices,UFP Techs,91,Healthcare,$309.20,1.79;2.11;5.52;5.89;7.02;8.26,$30.80,$335.61,91.3,7.8,>100,84,12.7,51.9,97.6,88,140.90%,108.50%,20.40%,17.70%,22.30%,- ,15.00%,1.51,0.87,"$2,371",-20%,69.20%,2.10%,1.20%,11.20%,19.10%,74.00%,50.90%,216.50%,329.10%,511.10%,904.10%
PLMR,Insurance - Property & Casualty,Palomar Hldgs,91,Financial Services,$93.06,0.35;2.05;2.77;3.69;4.54;5.40,$28.69,$121.87,69.1,6.5,>100,67.3,19.6,<-100,19,97,127.10%,109.20%,23.00%,18.90%,- ,22.50%,16.90%,0.78,1,"$2,325",-23%,57.10%,4.40%,4.70%,18.70%,10.10%,51.80%,40.40%,-0.70%,-14.00%,120.40%,- 
NSSC,Security & Protection Services,NAPCO Security Techs,27,Industrials,$51.86,0.21;0.42;0.53;0.74;1.33;1.58,$6.67,$57.37,89.1,26.6,>100,41.3,17.1,>100,70.1,83,125.30%,98.30%,84.70%,18.80%,29.90%,1.50%,27.00%,1.16,1.03,"$1,912",-24%,41.50%,1.10%,-1.20%,2.70%,13.20%,13.50%,29.00%,70.90%,168.50%,166.40%,1820.20%
UTHR,Biotechnology,United Therapeutics,91,Healthcare,$321.71,11.65;10.60;15.98;21.04;24.63;27.05,$75.58,$343.98,91.7,6.7,-15.6,37.3,8.3,-28.7,34.1,92,127.00%,103.60%,24.30%,9.80%,- ,12.50%,18.20%,0.16,0.39,"$14,313",15%,35.80%,-2.30%,-1.10%,8.20%,22.00%,43.20%,17.40%,14.90%,27.30%,213.70%,36.60%
CSWI,Specialty Industrial Machinery,CSW Industrials,92,Industrials,$302.67,2.67;4.21;6.22;6.54;8.28;9.43,$50.13,$327.04,91.2,12.4,33,85.9,19.8,51.4,87.9,90,130.50%,109.70%,27.00%,13.90%,17.80%,12.00%,15.80%,1.02,0.85,"$4,700",-29%,35.70%,0.30%,4.60%,17.30%,20.60%,30.90%,49.00%,124.20%,117.00%,261.20%,- 
ANET,Computer Hardware,Arista Networks,89,Technology,$323.54,2.09;2.74;4.41;6.75;8.25;9.37,$39.16,$376.50,84.3,13.7,>100,72.8,16.5,64,81.8,68,116.20%,97.30%,18.90%,13.60%,27.90%,19.40%,29.20%,1.95,1.48,"$101,641",-10%,26.80%,1.70%,7.50%,-5.80%,14.60%,15.70%,61.50%,125.10%,219.30%,352.00%,1501.10%
TTEK,Engineering & Construction,Tetra Tech,105,Industrials,$227.17,3.26;3.79;4.50;5.21;6.25;7.38,$63.61,$234.94,95.5,17.9,35.3,91.4,22.4,53.6,80.2,89,122.40%,108.90%,12.00%,18.10%,11.40%,4.90%,12.50%,0.82,1.09,"$12,160",-31%,25.90%,-0.30%,11.00%,18.20%,5.80%,27.40%,16.60%,27.70%,46.50%,108.40%,649.00%
HIG,Insurance - Property & Casualty,Hartford Finl Servs Gr,78,Financial Services,$105.11,4.79;6.73;5.54;8.09;10.12;11.56,$19.04,$112.65,91.9,2.8,9.2,71.6,5.6,15.3,77.9,90,113.00%,102.50%,14.00%,14.20%,16.50%,10.50%,15.40%,0.45,0.7,"$30,798",11%,21.50%,-0.80%,-2.30%,12.40%,5.00%,11.90%,29.40%,41.00%,45.70%,8.50%,53.30%
MPWR,Semiconductors,Monolithic Power Systems,89,Technology,$790.80,3.67;5.28;9.37;8.98;13.86;17.31,$130.12,$891.67,86.8,30.3,>100,59.3,42.4,>100,79,74,115.50%,97.50%,17.70%,24.90%,29.00%,25.00%,18.60%,2.44,2.01,"$38,553",-10%,15.20%,1.60%,4.80%,-0.20%,6.60%,18.90%,29.70%,20.60%,51.40%,368.60%,1724.70%
CTAS,Specialty Business Services,Cintas,48,Industrials,$744.93,10.52;11.92;13.21;15.40;16.65;18.39,$154.33,$773.95,95.3,12.7,40.1,96.2,17.8,51.1,98,84,116.20%,104.00%,9.90%,10.50%,13.70%,12.90%,24.30%,0.82,0.93,"$75,065",-22%,13.60%,-0.30%,0.80%,10.50%,7.40%,14.60%,34.80%,49.10%,72.60%,108.90%,1013.00%
TBBK,Banks - Regional,Bancorp,78,Financial Services,$46.88,1.39;1.93;2.30;3.52;4.41;5.22,$3.36,$53.48,86.8,6.9,-0.4,2.3,3.8,24,82.1,94,122.50%,116.70%,26.40%,18.40%,17.20%,12.00%,37.30%,0.97,1.38,"$2,309",- ,11.00%,-2.10%,-4.70%,29.20%,43.70%,4.00%,-1.60%,59.40%,61.30%,301.90%,186.00%
FSS,Pollution & Treatment Controls,Federal Signal,92,Industrials,$92.75,1.67;1.75;1.96;2.58;3.27;3.66,$23.32,$102.18,88,12.5,54.7,66.4,13.3,35.7,84.4,93,115.00%,104.40%,26.70%,11.90%,14.00%,16.00%,15.80%,1.35,0.92,"$5,671",-14%,10.70%,0.90%,-2.40%,16.50%,8.80%,12.20%,36.30%,96.90%,120.90%,127.90%,387.40%
CB,Insurance - Property & Casualty,Chubb,76,Financial Services,$265.18,7.82;19.38;12.50;21.97;21.55;23.47,$87.35,$277.91,93.3,6.7,12.5,15.6,9.3,34.8,23.4,82,107.50%,100.80%,8.80%,8.90%,23.60%,2.40%,13.80%,0.28,0.55,"$107,115",2%,7.60%,-2.60%,-0.50%,10.90%,4.10%,1.40%,15.30%,17.40%,35.60%,-5.60%,-1.80%
EXLS,Information Technology Services,ExlService Holdings,78,Technology,$34.13,0.52;0.68;0.86;1.11;1.61;1.85,$8.12,$38.23,86.4,9.6,43.1,84.9,23.9,54.8,43.2,87,111.80%,107.90%,12.60%,14.90%,32.30%,14.90%,15.30%,0.89,0.96,"$5,508",-12%,0.10%,1.00%,0.40%,14.20%,12.60%,3.80%,4.70%,-31.90%,20.50%,62.00%,287.10%
ROL,Personal Services,Rollins,77,Consumer Cyclical,$47.85,0.54;0.72;0.75;0.89;1.01;1.14,$20.48,$50.87,90.1,32.4,54.9,55.8,39.6,97.3,35.7,69,107.10%,98.70%,12.20%,12.90%,15.60%,12.70%,23.20%,0.56,0.6,"$23,174",-19%,-0.20%,-0.60%,3.40%,0.80%,0.50%,3.00%,1.80%,0.40%,7.00%,37.90%,320.60%
FCN,Consulting Services,FTI Consulting,78,Industrials,$216.52,5.99;6.76;6.77;7.71;8.53;9.43,$94.87,$243.60,81.8,12.2,>100,50,17.9,34.2,50.1,74,102.70%,99.60%,10.60%,10.60%,12.60%,7.90%,14.00%,0.38,0.31,"$7,773",-9%,-1.80%,-0.40%,0.50%,7.20%,-3.10%,5.40%,-1.20%,4.20%,26.40%,11.70%,254.20%
EA,Electronic Gaming & Multimedia,Electronic Arts,91,Communication Services,$145.73,2.87;2.78;2.90;4.71;7.55;8.43,$85.69,$153.50,88.5,14.9,30,42.5,9.4,63.6,85.1,70,107.10%,103.60%,9.10%,11.70%,-9.80%,12.90%,12.30%,0.65,0.57,"$38,501",2%,-3.70%,-0.90%,1.30%,11.30%,10.30%,1.60%,0.90%,-19.00%,-14.70%,-31.60%,107.90%
AMZN,Internet Retail,Amazon.com,78,Consumer Cyclical,$161.93,2.13;3.30;-0.27;2.95;4.32;5.37,$81.30,$201.20,67.2,15.9,44.9,0.9,31.5,<-100,16.8,21,94.90%,86.90%,49.00%,24.30%,28.30%,28.00%,12.80%,1.58,1.57,"$1,699,547",38%,-4.00%,-0.50%,-7.30%,-13.20%,-15.70%,-10.70%,-2.60%,-15.30%,-26.60%,-15.70%,705.50%
CORT,Biotechnology,Corcept Therapeutics,91,Healthcare,$34.22,0.92;0.97;0.95;1.02;1.11;1.69,$9.70,$39.75,81.6,9.9,35.3,94.1,14.2,41.7,80.5,94,126.40%,105.60%,18.10%,52.30%,12.40%,-41.40%,20.80%,1.22,0.79,"$3,575",-11%,-5.20%,-1.90%,-1.60%,19.60%,41.30%,49.00%,-8.90%,-11.10%,33.30%,79.80%,922.60%
EG,Insurance - Reinsurance,Everest Group,77,Financial Services,$358.64,12.81;34.66;15.19;60.19;61.06;68.48,$157.32,$417.92,77.3,2.5,8.5,29.9,5.2,29,0.8,38,94.80%,94.50%,16.10%,12.20%,39.90%,2.70%,17.30%,0.39,0.58,"$15,519",33%,-8.10%,-0.40%,-4.30%,4.70%,-6.30%,-11.30%,-15.80%,15.60%,21.80%,-32.60%,-42.30%
Summary, , , , , , , , , , , , , , , ,79,116.60%,102.10%,26.20%,17.90%,22.50%,11.40%,21.20%,1.04,0.99,"$226,215",-6%,21.30%,0.10%,0.90%,8.70%,11.00%,19.30%,23.90%,58.30%,82.70%,252.60%,1856.40%
