Ticker,Industry,Company,Days Until Next Earnings Report,Sector,Price,Yearly EPS,5-Year Price Range Low,5-Year Price Range High,5-Year Price Range % of Range,5-Year Price / Cash Flow Range Low,5-Year Price / Cash Flow Range High,5-Year Price / Cash Flow Range % of Range,5-Year Price / Earnings Range Low,5-Year Price / Earnings Range High,5-Year Price / Earnings Range % of Range,Momentum Rating vs. Peers,Price vs 200-Day Avg (%),Price vs 50-Day Avg (%),EPS Current Year Chg (Est.%),EPS Next Year Chg (Est.%),EPS 5-Year Avg (%),5-Year EPS Growth Estimate,ROIC,Beta 1-Year,Beta 3-Year,Market Cap ($M USD),Margin of Safety,YTD Return vs S&P 500,1-Day Return vs S&P 500,5D Return vs S&P 500,1M Return vs S&P 500,3M Return vs S&P 500,6-Month Return vs S&P 500,1Y Return vs S&P 500,2Y Return vs S&P 500,3Y Return vs S&P 500,5Y Return vs S&P 500,10Y Return vs S&P 500
UFPT,Medical Devices,UFP Techs,90,Healthcare,$299.62,1.79;2.11;5.52;5.89;7.02;8.26,$30.80,$335.61,88.2,7.8,>100,83.5,12.7,51.9,96.5,88,136.00%,104.80%,20.40%,17.70%,22.30%,- ,15.00%,1.51,0.87,"$2,297",-17%,64.40%,-2.40%,-1.00%,9.30%,16.10%,69.10%,46.50%,207.80%,313.00%,490.60%,868.30%
MPWR,Semiconductors,Monolithic Power Systems,88,Technology,$757.04,3.67;5.28;9.37;8.98;13.86;17.31,$130.12,$891.67,82.3,30.3,>100,55.9,42.4,>100,76.1,74,110.30%,93.30%,17.70%,24.90%,29.00%,25.00%,18.60%,2.44,2.01,"$36,907",-6%,10.70%,-3.50%,-6.50%,-3.70%,2.70%,14.30%,24.20%,15.70%,44.00%,345.90%,1639.50%
ANET,Computer Hardware,Arista Networks,88,Technology,$317.33,2.09;2.74;4.41;6.75;8.25;9.37,$39.16,$376.50,82.5,13.7,>100,72,16.5,64,80.7,68,113.70%,95.30%,18.90%,13.60%,27.90%,19.40%,29.20%,1.95,1.48,"$99,690",-8%,25.00%,-1.20%,-2.60%,-7.10%,13.10%,14.10%,58.90%,128.70%,210.70%,342.90%,1468.40%
TBBK,Banks - Regional,Bancorp,77,Financial Services,$46.53,1.39;1.93;2.30;3.52;4.41;5.22,$3.36,$53.48,86.1,6.9,-0.4,2.3,3.8,24,81.8,94,121.50%,115.00%,26.40%,18.40%,17.20%,12.00%,37.30%,0.97,1.38,"$2,291",- ,10.90%,0.00%,-4.40%,29.10%,43.40%,3.90%,-1.60%,60.30%,67.70%,299.60%,184.60%
CSWI,Specialty Industrial Machinery,CSW Industrials,91,Industrials,$300.76,2.67;4.21;6.22;6.54;8.28;9.43,$50.13,$327.04,90.5,12.4,33,85.4,19.8,51.4,87.4,90,129.40%,108.60%,27.00%,13.90%,17.80%,12.00%,15.80%,1.02,0.85,"$4,670",-28%,35.60%,0.10%,-1.50%,18.10%,20.60%,30.80%,48.80%,126.80%,124.20%,259.70%,- 
UTHR,Biotechnology,United Therapeutics,90,Healthcare,$322.23,11.65;10.60;15.98;21.04;24.63;27.05,$75.58,$343.98,91.9,6.7,-15.6,37.4,8.3,-28.7,34.2,92,127.00%,103.40%,24.30%,9.80%,- ,12.50%,18.20%,0.16,0.39,"$14,336",15%,36.80%,0.90%,8.70%,9.60%,23.00%,44.20%,18.50%,16.40%,34.10%,215.70%,39.50%
NSSC,Security & Protection Services,NAPCO Security Techs,26,Industrials,$50.18,0.21;0.42;0.53;0.74;1.33;1.58,$6.67,$57.37,85.8,26.6,>100,39.2,17.1,>100,68.5,83,120.80%,95.10%,84.70%,18.80%,29.90%,1.50%,27.00%,1.16,1.03,"$1,850",-22%,37.40%,-2.50%,-4.30%,-1.10%,10.30%,10.40%,25.10%,65.40%,163.60%,156.10%,1753.00%
PLMR,Insurance - Property & Casualty,Palomar Hldgs,90,Financial Services,$94.94,0.35;2.05;2.77;3.69;4.54;5.40,$28.69,$121.87,71.1,6.5,>100,68.1,19.6,<-100,20.5,97,129.30%,111.10%,23.00%,18.90%,- ,22.50%,16.90%,0.78,1,"$2,371",-24%,61.30%,2.70%,9.00%,21.50%,13.10%,55.80%,44.40%,6.40%,-4.80%,128.20%,- 
FSS,Pollution & Treatment Controls,Federal Signal,91,Industrials,$90.94,1.67;1.75;1.96;2.58;3.27;3.66,$23.32,$102.18,85.7,12.5,54.7,65.1,13.3,35.7,82.9,93,112.50%,102.20%,26.70%,11.90%,14.00%,16.00%,15.80%,1.35,0.92,"$5,560",-13%,9.10%,-1.20%,-3.20%,13.90%,7.40%,10.60%,34.10%,92.00%,120.90%,123.00%,375.80%
TTEK,Engineering & Construction,Tetra Tech,104,Industrials,$228.65,3.26;3.79;4.50;5.21;6.25;7.38,$63.61,$234.94,96.3,17.9,35.3,92.1,22.4,53.6,80.8,89,122.90%,109.40%,12.00%,18.10%,11.40%,4.90%,12.50%,0.82,1.09,"$12,239",-32%,27.60%,1.40%,13.00%,18.30%,7.20%,29.00%,18.30%,25.40%,49.00%,111.80%,657.70%
